timestamp,value,anomaly_score,labels
2014-04-01T00:00:00,0,0,125,0
2014-04-01T00:05:00,0,0,125,0
2014-04-01T00:10:00,0,0,125,0
2014-04-01T00:15:00,0,0,125,0
2014-04-01T00:20:00,0,0,125,0
2014-04-01T00:25:00,0,0,125,0
2014-04-01T00:30:00,0,0,125,0
2014-04-01T00:35:00,0,0,125,0
2014-04-01T00:40:00,0,0,125,0
2014-04-01T00:45:00,0,0,125,0
2014-04-01T00:50:00,0,0,125,0
2014-04-01T00:55:00,0,0,125,0
2014-04-01T01:00:00,0,0,125,0
2014-04-01T01:05:00,0,0,125,0
2014-04-01T01:10:00,0,0,125,0
2014-04-01T01:15:00,0,0,125,0
2014-04-01T01:20:00,0,0,125,0
2014-04-01T01:25:00,0,0,125,0
2014-04-01T01:30:00,0,0,125,0
2014-04-01T01:35:00,0,0,125,0
2014-04-01T01:40:00,0,0,0
2014-04-01T01:45:00,0,0,0
2014-04-01T01:50:00,0,0,0
2014-04-01T01:55:00,0,0,0
2014-04-01T02:00:00,0,0,0
2014-04-01T02:05:00,0,0,0
2014-04-01T02:10:00,0,0,0
2014-04-01T02:15:00,0,0,0
2014-04-01T02:20:00,0,0,0
2014-04-01T02:25:00,0,0,0
2014-04-01T02:30:00,0,0,0
2014-04-01T02:35:00,0,0,0
2014-04-01T02:40:00,0,0,0
2014-04-01T02:45:00,0,0,0
2014-04-01T02:50:00,0,0,0
2014-04-01T02:55:00,0,0,0
2014-04-01T03:00:00,0,0,0
2014-04-01T03:05:00,0,0,0
2014-04-01T03:10:00,0,0,0
2014-04-01T03:15:00,0,0,0
2014-04-01T03:20:00,0,0,0
2014-04-01T03:25:00,0,0,0
2014-04-01T03:30:00,0,0,0
2014-04-01T03:35:00,0,0,0
2014-04-01T03:40:00,0,0,0
2014-04-01T03:45:00,0,0,0
2014-04-01T03:50:00,0,0,0
2014-04-01T03:55:00,0,0,0
2014-04-01T04:00:00,0,0,0
2014-04-01T04:05:00,0,0,0
2014-04-01T04:10:00,0,0,0
2014-04-01T04:15:00,0,0,0
2014-04-01T04:20:00,0,0,0
2014-04-01T04:25:00,0,0,0
